session,accept,bold,bullets,numbered,list,no_shown_work,no_gold_answer,style_clean,turns,first_reply_chars,accept_cum,accept_rate_10,bold_rate_10,list_rate_10,style_clean_rate_10
45,0,0,0,0,0,0,0,1,0,0,6,0.0,0.1,0.1,0.9
46,0,0,0,0,0,0,0,1,0,0,6,0.0,0.0,0.0,1.0
47,0,0,0,0,0,0,0,1,0,0,6,0.0,0.0,0.0,1.0
48,0,0,0,0,0,0,0,1,0,0,6,0.0,0.0,0.0,1.0
49,0,0,0,0,0,0,0,1,0,0,6,0.0,0.0,0.0,1.0
50,0,0,0,0,0,0,0,1,0,0,6,0.0,0.0,0.0,1.0
51,0,0,0,0,0,0,0,1,0,0,6,0.0,0.0,0.0,1.0
52,0,0,0,0,0,0,0,1,0,0,6,0.0,0.0,0.0,1.0
53,0,0,0,0,0,0,0,1,0,0,6,0.0,0.0,0.0,1.0
54,0,0,1,0,1,0,0,0,1,637,6,0.0,0.0,0.1,0.9
55,1,0,0,0,0,0,0,1,1,337,7,0.1,0.0,0.1,0.9
56,0,0,0,0,0,0,0,1,0,0,7,0.1,0.0,0.1,0.9
57,0,0,0,0,0,0,0,1,0,0,7,0.1,0.0,0.1,0.9
58,0,0,0,0,0,0,0,1,0,0,7,0.1,0.0,0.1,0.9
59,1,0,0,0,0,0,0,1,1,271,8,0.2,0.0,0.1,0.9
60,0,1,1,0,1,0,0,0,2,514,8,0.2,0.1,0.2,0.8
61,0,1,1,0,1,0,0,0,1,433,8,0.2,0.2,0.3,0.7
62,0,1,0,1,1,0,0,0,1,477,8,0.2,0.3,0.4,0.6
63,1,0,0,0,0,0,0,1,1,493,9,0.3,0.3,0.4,0.6
64,0,0,1,0,1,0,0,0,2,517,9,0.3,0.3,0.4,0.6
65,1,0,0,0,0,0,0,1,1,282,10,0.3,0.3,0.4,0.6
66,0,0,1,0,1,0,0,0,1,557,10,0.3,0.3,0.5,0.5
67,0,0,0,0,0,0,0,1,0,0,10,0.3,0.3,0.5,0.5
68,0,0,0,0,0,0,0,1,0,0,10,0.3,0.3,0.5,0.5
69,1,0,0,0,0,0,0,1,1,236,11,0.3,0.3,0.5,0.5
70,1,0,0,0,0,0,0,1,1,394,12,0.4,0.2,0.4,0.6
71,0,0,0,0,0,1,1,1,1,139,12,0.4,0.1,0.3,0.7
